电影名称,评价分数,评论人数,导演,主演,上映时间,出品地,剧情类别,电影标题图链接
东邪西毒,8.6,621794,王家卫 Kar Wai Wong,张国荣 Leslie Cheung / 林青霞 Brigitte...,1994,中国香港 中国台湾,剧情 动作 爱情 武侠 古装,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1982176012.jpg
可可西里,8.9,335446,陆川 Chuan Lu,多布杰 Duobujie / 张磊 Lei Zhang / 亓亮 Qi L...,2004,中国大陆 中国香港,剧情 犯罪,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2363208684.jpg
爆裂鼓手,8.6,669457,达米恩·查泽雷 Damien Chazelle,迈尔斯·特勒 Miles Teller /...,2014,美国,剧情 音乐,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2915975989.jpg
城市之光,9.3,165583,查理·卓别林 Charles Chaplin,查理·卓别林 Charles Chaplin ...,1931,美国,喜剧 剧情 爱情,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2170238828.jpg
波西米亚狂想曲,8.6,670679,布莱恩·辛格 Bryan Singer,拉米·马雷克 Rami Malek / 本·哈...,2018,英国 美国,剧情 传记 同性 音乐,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2549558913.jpg
花束般的恋爱,8.6,778819,土井裕泰 Nobuhiro Doi,菅田将晖 Masaki Suda / 有村架纯 Kasu...,2021,日本,剧情 爱情,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2868462052.jpg
黑天鹅,8.6,829452,达伦·阿罗诺夫斯基 Darren Aronofsky,娜塔莉·波特曼 Natalie...,2010,美国,剧情 惊悚,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2549648344.jpg
爱乐之城,8.4,1057663,达米恩·查泽雷 Damien Chazelle,瑞恩·高斯林 Ryan Gosling /...,2016,美国,剧情 爱情 歌舞,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2901102612.jpg
青蛇,8.6,576837,徐克 Hark Tsui,张曼玉 Maggie Cheung / 王祖贤 Joey Wang / ...,1993,中国香港 中国大陆,剧情 爱情 奇幻 古装,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2570901292.jpg
白日梦想家,8.6,608826,本·斯蒂勒 Ben Stiller,本·斯蒂勒 Ben Stiller / 克里斯汀·...,2013,美国 英国,剧情 喜剧 冒险,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2160195181.jpg
哈利·波特与死亡圣器(上),8.6,670062,大卫·叶茨 David Yates,丹尼尔·雷德克里夫 Daniel Radcliffe...,2010,英国 美国,奇幻 冒险,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2913456984.jpg
机器人之梦,9.1,361667,巴勃罗·贝格尔 Pablo Berger,伊万·拉班达 Ivan Labanda / 阿...,2023,西班牙 法国,剧情 动画 音乐,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2904305126.jpg
终结者2：审判日,8.8,372595,詹姆斯·卡梅隆 James Cameron,阿诺·施瓦辛格 Arnold Schwarz...,1991,美国 法国,动作 科幻,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1910909085.jpg
